$ python process_train_nov25_newtrain_conf.py 
train_data_size, train_data_true_count, train_data_false_count:
1645 813 832
val_data_size, val_data_true_count, val_data_false_count:
470 243 227
test_data_size, test_data_true_count, test_data_false_count:
235 109 126
epoch: 3460, train acc: 0.6753799392097265, val acc: 0.5787234042553191
epoch: 3480, train acc: 0.6358662613981763, val acc: 0.5765957446808511
epoch: 3500, train acc: 0.6486322188449848, val acc: 0.6042553191489362
epoch: 3520, train acc: 0.6437689969604863, val acc: 0.5893617021276596
epoch: 3540, train acc: 0.6413373860182371, val acc: 0.6063829787234043
epoch: 3560, train acc: 0.6553191489361702, val acc: 0.5914893617021276
epoch: 3580, train acc: 0.6413373860182371, val acc: 0.5893617021276596
epoch: 3600, train acc: 0.6401215805471124, val acc: 0.5914893617021276
epoch: 3620, train acc: 0.6601823708206687, val acc: 0.574468085106383
epoch: 3640, train acc: 0.6541033434650456, val acc: 0.5851063829787234
epoch: 3660, train acc: 0.6577507598784195, val acc: 0.597872340425532
epoch: 3680, train acc: 0.660790273556231, val acc: 0.5340425531914894
epoch: 3700, train acc: 0.6674772036474164, val acc: 0.6170212765957447
epoch: 3720, train acc: 0.6620060790273556, val acc: 0.6234042553191489
epoch: 3740, train acc: 0.6668693009118541, val acc: 0.5893617021276596
epoch: 3760, train acc: 0.6492401215805471, val acc: 0.5574468085106383
epoch: 3780, train acc: 0.660790273556231, val acc: 0.5936170212765958
epoch: 3800, train acc: 0.6620060790273556, val acc: 0.6042553191489362
epoch: 3820, train acc: 0.652887537993921, val acc: 0.5914893617021276
epoch: 3840, train acc: 0.6644376899696048, val acc: 0.5893617021276596
epoch: 3860, train acc: 0.6632218844984803, val acc: 0.6170212765957447
epoch: 3880, train acc: 0.6516717325227963, val acc: 0.6
epoch: 3900, train acc: 0.6595744680851063, val acc: 0.5787234042553191
epoch: 3920, train acc: 0.6541033434650456, val acc: 0.5936170212765958
epoch: 3940, train acc: 0.6644376899696048, val acc: 0.6021276595744681
epoch: 3960, train acc: 0.6644376899696048, val acc: 0.5723404255319149
epoch: 3980, train acc: 0.6437689969604863, val acc: 0.5872340425531914
epoch: 4000, train acc: 0.6650455927051672, val acc: 0.6063829787234043
epoch: 4020, train acc: 0.6711246200607903, val acc: 0.5787234042553191
epoch: 4040, train acc: 0.6443768996960486, val acc: 0.5765957446808511
epoch: 4060, train acc: 0.6650455927051672, val acc: 0.5872340425531914
epoch: 4080, train acc: 0.6589665653495441, val acc: 0.6170212765957447
epoch: 4100, train acc: 0.6449848024316109, val acc: 0.6
epoch: 4120, train acc: 0.6613981762917933, val acc: 0.5957446808510638
epoch: 4140, train acc: 0.6565349544072948, val acc: 0.6127659574468085
epoch: 4160, train acc: 0.6522796352583586, val acc: 0.5808510638297872
epoch: 4180, train acc: 0.6541033434650456, val acc: 0.5595744680851064
